# Real team-pointer table, transcribed from carky12's "Punteros Equipos.pdf"
# (jandro996/EditorPCFutbol6 repo, Manuales/Punteros Equipos.pdf).
# Community reference data (4-digit decimal pointer -> team name/country),
# not proprietary Dinamic game content -- see PLAN.md Appendix C / §9 and
# fixtures/README.md. Confirms pointers/team_filename's EQ97+pointer
# convention: e.g. Boca = 9013 -> EQ979013.DBC (already implemented in
# crates/pcf-model/src/pointers.rs).
pointer,name,country
1004,Fenerbahce,Turquía
1005,Kocaelispor,Turquía
1006,Gaziantepspor,Turquía
1007,Antalyaspor,Turquía
1008,Samsunspor,Turquía
1009,Bursaspor,Turquía
1010,Istanbulspor,Turquía
1011,Gençlerbirligi,Turquía
1012,Ankaragücü,Turquía
1013,Vanspor,Turquía
1014,Altay Izmir,Turquía
1015,Canakkale Dardanelspor,Turquía
1016,Sariyer,Turquía
1017,Denizlispor,Turquía
1018,Zeytinburnuspor,Turquía
1051,Legia Varsovia,Polonia
1052,Katowice,Polonia
1053,Widzew Lodz,Polonia
1054,Zaglebie Lubin,Polonia
1055,Ruch Chorzow,Polonia
1056,Hutnik Cracovia,Polonia
1057,LKS Lodz,Polonia
1058,Amika Wronki,Polonia
1059,Lech Poznan,Polonia
1060,Gornik Zabrze,Polonia
1061,Stomil Olsztyn (OKS Olsztyn),Polonia
1062,Polonia Varsovia,Polonia
1063,GKS Tychy,Polonia
1064,Rakow Czestochowa,Polonia
1065,Kispest-Honvéd (ara Budapest Honved),Polonia
1101,Grasshopper,Suiza
1102,Sion,Suiza
1103,Lugano,Suiza
1104,Neuchatel,Suiza
1105,Aarau,Suiza
1106,Luzern,Suiza
1107,Basel,Suiza
1108,Servette,Suiza
1109,St. Gallen,Suiza
1110,Lausanne S.,Suiza
1111,Zurich,Suiza
1112,Young Boys,Suiza
1151,Casino Salzsburg,Austria
1152,Rapid Viena,Austria
1153,Sturm Graz,Austria
1154,Austria Wien (ex-Austria M),Austria
1155,Tirol,Austria
1156,Grazer (ex-Casino Graz),Austria
1157,LASK Linz,Austria
1158,SV Ried,Austria
1159,Admira Wacker,Austria
1160,FC Linz,Austria
1201,Aalborg,Dinamarca
1202,Copenaghen,Dinamarca
1203,Brondby,Dinamarca
1204,Silkeborg,Dinamarca
1205,Aarhus,Dinamarca
1206,Odense,Dinamarca
1207,Lyngby,Dinamarca
1208,Viborg FF,Dinamarca
1209,Vejle BK,Dinamarca
1210,Herfolge BK,Dinamarca
1211,Ikast FS,Dinamarca
1212,Naestved BK,Dinamarca
1213,Fremad,Dinamarca
1214,Akademisk B.,Dinamarca
1251,G. Rangers,Escocia
1252,C. Glasgow,Escocia
1253,Motherwell,Escocia
1254,Hibernian,Escocia
1255,Aberdeen,Escocia
1256,Heart of M.,Escocia
1257,Raith R.,Escocia
1258,Kilmarnock,Escocia
1259,Dundee United,Escocia
1260,Dunfermline Ath.,Escocia
1261,St. Johnstone,Escocia
1262,Dundee,Escocia
1263,Saint Mirren,Escocia
1264,Livingston,Escocia
1265,Ayr,Escocia
1266,Clyde,Escocia
1267,Falkirk,Escocia
1268,Morton,Escocia
1269,Alloa,Escocia
1270,Ross County,Escocia
1271,Airdrie,Escocia
1272,Inverness,Escocia
1301,Panathinaikos,Grecia
1302,AEK Atenas,Grecia
1303,Olympiakos,Grecia
1304,Apollon,Grecia
1305,Iraklis,Grecia
1306,OFI,Grecia
1307,Paniliakos,Grecia
1308,Aris,Grecia
1309,Ionikos,Grecia
1310,Edessaikos,Grecia
1311,Athinaikos,Grecia
1312,PAOK,Grecia
1313,Panionios,Grecia
1314,Kalamata,Grecia
1315,Kavala,Grecia
1316,Veria,Grecia
1317,Skoda Xanthi,Grecia
1318,Panachaiki,Grecia
1319,Kastoria,Grecia
1351,Rosenborg,Noruega
1352,Molde FK,Noruega
1353,Lillestrom,Noruega
1354,Viking,Noruega
1355,Bodo Glimt,Noruega
1356,Brann,Noruega
1357,Tromso,Noruega
1358,Stromsgodset,Noruega
1359,Valerenga,Noruega
1360,Stabaek,Noruega
1401,Steaua B.,Rumania
1402,Petrolul (Petrolul Ploiesti),Rumania
1403,Universitatea (Université Craiovie),Rumania
1404,D. Bucarest,Rumania
1405,Gloria Bistrita,Rumania
1406,Rapid Bucarest,Rumania
1407,National Bucarest (Progresul Bucarest),Rumania
1408,Politechnica Timisoara,Rumania
1409,Arges Pitesti,Rumania
1410,Ceahlaul,Rumania
1411,FC Brasov,Rumania
1412,Bacau,Rumania
1413,Farul Constanta,Rumania
1414,Universitatea Cluj (no CFR Cluj),Rumania
1415,Sportul Studentesc,Rumania
1416,Jiul Petrosani,Rumania
1417,FCM Targoviste (Chindia Târgoviste),Rumania
1418,Otelul Galati,Rumania
1451,Hradec Kralove,Rep. Checa
1452,Sparta Praga,Rep. Checa
